City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,al ghayzah,16.2079,52.176,23.95,59,0,3.82,YE,1736435326
220,dorfen,48.2667,12.15,11.04,87,89,2.71,DE,1736435626
221,kattivakkam,13.2167,80.3167,26.65,64,96,4.77,IN,1736435627
222,chystyakove,48.0388,38.5969,6.3,89,64,0.88,UA,1736435628
223,monterey,36.2505,-121.2516,6.0,44,2,0.67,US,1736435630
224,bulgan,48.8125,103.5347,-20.22,97,37,1.99,MN,1736435253
225,zelenogradsk,54.9589,20.4767,1.03,93,100,2.0,RU,1736435632
226,muhammadabad,25.6333,83.75,12.76,51,0,1.57,IN,1736435633
227,hilo,19.7297,-155.09,21.39,100,100,2.57,US,1736435599
228,nephi,39.7102,-111.8363,-8.66,82,5,2.47,US,1736435635
229,klyuchi,52.2667,79.1667,-6.22,95,100,5.93,RU,1736435636
230,kidal,18.4411,1.4078,26.85,9,98,6.14,ML,1736435637
231,galle,6.0367,80.217,26.31,82,94,2.2,LK,1736435275
232,egilsstadir,65.2653,-14.3948,-19.05,84,0,1.54,IS,1736435639
233,port huron,42.9709,-82.4249,-9.97,74,40,4.63,US,1736434933
234,ust'-ilimsk,58.0006,102.6619,-8.0,95,100,2.58,RU,1736435642
235,coyuca de catalan,18.3333,-100.65,24.1,55,67,0.47,MX,1736435643
236,tual,-5.6667,132.75,28.87,73,99,4.67,ID,1736435644
237,port moresby,-9.4431,147.1797,26.11,85,100,1.46,PG,1736435645
238,boguchany,58.3814,97.4531,-13.72,96,91,2.48,RU,1736435646
239,san rafael,-34.6177,-68.3301,27.3,31,89,7.64,AR,1736435649
240,an nuhud,12.7,28.4333,30.06,13,2,2.82,SD,1736435650
241,wailua homesteads,22.0669,-159.378,20.44,95,100,3.09,US,1736435652
242,thompson,55.7435,-97.8558,-10.91,85,100,4.63,CA,1736435404
243,bhabhua,25.05,83.6167,12.39,47,0,1.07,IN,1736435654
244,viedma,-40.8135,-62.9967,22.41,35,3,11.95,AR,1736435655
245,dudinka,69.4058,86.1778,-32.27,100,52,0.49,RU,1736435656
246,argo,37.6333,22.7333,15.35,71,2,1.39,GR,1736435657
247,mandimba,-14.3548,35.6515,19.93,98,100,2.21,MZ,1736435659
248,shenkursk,62.1091,42.896,-8.34,82,99,5.62,RU,1736435660
249,juan griego,11.0817,-63.9655,28.55,57,80,4.92,VE,1736435661
250,polyarnyy,69.1989,33.4478,-3.46,70,100,3.37,RU,1736435662
251,saint-pierre,-21.3393,55.4781,27.82,74,20,1.03,RE,1736435598
252,elliot lake,46.3834,-82.6331,-14.86,41,8,1.73,CA,1736435665
253,sechura,-5.5569,-80.8222,24.64,63,99,2.85,PE,1736435666
254,moulins,46.5,3.3333,5.95,90,99,3.63,FR,1736435667
255,priozersk,61.0393,30.1291,0.61,87,99,3.09,RU,1736435668
256,tegina,10.0706,6.1906,35.29,9,1,2.43,NG,1736435669
257,alice springs,-23.7,133.8833,27.75,30,91,2.57,AU,1736435670
258,el burgo de osma,41.5862,-3.0652,9.17,86,100,8.57,ES,1736435671
259,kerema,-7.9631,145.7785,25.68,90,100,2.01,PG,1736435672
260,christchurch,-43.5333,172.6333,13.11,81,100,3.09,NZ,1736435236
261,labrador city,52.9463,-66.9114,-0.46,84,75,12.07,CA,1736435674
